INFO  - 2014-07-22 15:23:27.069; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-07-22 15:23:27.128; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\
INFO  - 2014-07-22 15:23:27.138; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-07-22 15:23:27.144; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\, dataDir=C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data\
INFO  - 2014-07-22 15:23:27.145; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-07-22 15:23:27.149; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-07-22 15:23:27.149; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-07-22 15:23:27.158; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data
INFO  - 2014-07-22 15:23:27.159; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data\index/
WARN  - 2014-07-22 15:23:27.160; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2014-07-22 15:23:27.167; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data\index
INFO  - 2014-07-22 15:23:27.245; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-07-22 15:23:27.246; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-07-22 15:23:27.248; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-07-22 15:23:27.249; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-07-22 15:23:27.249; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-07-22 15:23:27.251; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-07-22 15:23:27.252; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-07-22 15:23:27.306; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
